Kobyłka,wołomiński,mazowieckie,"19,64",20 458,1042
Kock,lubartowski,lubelskie,"16,78",3436,205
Kolbuszowa,kolbuszowski,podkarpackie,"7,94",9341,1176
Kolno,kolneński,podlaskie,"25,07",10 679,426
Kolonowskie,strzelecki,opolskie,"55,70",3396,61
Koluszki,łódzki wschodni,łódzkie,"9,90",13 542,1368
Kołaczyce,jasielski,podkarpackie,"7,15",1447,202
Koło,kolski,wielkopolskie,"13,85",23 064,1665
Kołobrzeg,kołobrzeski,zachodniopomorskie,"25,67",46 951,1829
Koniecpol,częstochowski,śląskie,"36,92",6233,169
Konin,Konin[1],wielkopolskie,"82,20",77 847,947
Konstancin-Jeziorna,piaseczyński,mazowieckie,"17,74",17 473,985
Konstantynów Łódzki,pabianicki,łódzkie,"27,25",17 757,652
Końskie,konecki,świętokrzyskie,"17,70",20 530,1160
Koprzywnica,sandomierski,świętokrzyskie,"17,90",2589,145
Korfantów,nyski,opolskie,"10,23",1910,187
Koronowo,bydgoski,kujawsko-pomorskie,"28,15",11 360,404
Korsze,kętrzyński,warmińsko-mazurskie,"4,03",4600,1141
Kosów Lacki,sokołowski,mazowieckie,"11,57",2197,190
Kostrzyn,poznański,wielkopolskie,"7,98",9426,1181
Kostrzyn nad Odrą,gorzowski,lubuskie,"46,14",18 125,393
Koszalin,Koszalin[1],zachodniopomorskie,"98,34",109 343,1112
Kościan,kościański,wielkopolskie,"8,79",24 050,2736
Kościerzyna,kościerski,pomorskie,"15,86",23 779,1499
Kowal,włocławski,kujawsko-pomorskie,"4,68",3538,756
Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie,"4,45",4270,960
Kowary,jeleniogórski,dolnośląskie,"37,39",11 648,312
Koziegłowy,myszkowski,śląskie,"26,71",2475,93
Kozienice,kozienicki,mazowieckie,"10,45",18 422,1763
Koźmin Wielkopolski,krotoszyński,wielkopolskie,"5,89",6707,1139
Kożuchów,nowosolski,lubuskie,"5,94",9718,1636
Kórnik,poznański,wielkopolskie,"5,99",7351,1227
Krajenka,złotowski,wielkopolskie,"3,76",3798,1010
Kraków,Kraków[1],małopolskie,"326,85",758 463,2321
Krapkowice,krapkowicki,opolskie,"21,01",17 137,816
Krasnobród,zamojski,lubelskie,"6,99",3097,443
Krasnystaw,krasnostawski,lubelskie,"42,13",19 588,465
Kraśnik,kraśnicki,lubelskie,"26,10",36 038,1381
Krobia,gostyński,wielkopolskie,"7,05",4213,598
Krosno,Krosno[1],podkarpackie,"43,50",47 307,1088
Krosno Odrzańskie,krośnieński,lubuskie,"8,15",12 038,1477
